Time (ps),Quercetin-FN1,pQ3RU-FN1
1834,2.134138,2.181516
1836,2.145553,2.17392
1838,2.156048,2.17784
1840,2.164978,2.189043
1842,2.153412,2.189827
1844,2.154031,2.203944
1846,2.151401,2.197865
1848,2.150173,2.199109
1850,2.149551,2.205163
1852,2.139147,2.205784
1854,2.141725,2.199934
1856,2.145191,2.200265
1858,2.149591,2.212451
1860,2.151431,2.199792
1862,2.156245,2.19428
1864,2.161752,2.191937
1866,2.156942,2.192104
1868,2.157574,2.19299
1870,2.161753,2.185579
1872,2.146411,2.184484
1874,2.143942,2.19473
1876,2.148483,2.188681
1878,2.145035,2.186562
1880,2.141483,2.198941
1882,2.142529,2.203906
1884,2.144399,2.208847
1886,2.144468,2.210674
1888,2.153862,2.218103
1890,2.158766,2.214356
1892,2.153974,2.222555
1894,2.141817,2.214834
1896,2.139464,2.224198
1898,2.134835,2.21784
1900,2.141552,2.217323
1902,2.140589,2.199119
1904,2.145114,2.205465
1906,2.138983,2.210524
1908,2.126266,2.209791
1910,2.134259,2.199849
1912,2.135932,2.196942
1914,2.138952,2.19156
1916,2.132104,2.200151
1918,2.137517,2.20345
1920,2.133696,2.203023
1922,2.131609,2.198841
1924,2.128387,2.185946
1926,2.138901,2.20236
1928,2.136574,2.198069
1930,2.140928,2.197976
1932,2.135246,2.200557
1934,2.138739,2.200524
1936,2.13832,2.200994
1938,2.147958,2.19788
1940,2.154891,2.202955
1942,2.148971,2.201488
1944,2.145303,2.212866
1946,2.156966,2.209485
1948,2.145981,2.20506
1950,2.145749,2.214634
1952,2.144985,2.217284
1954,2.127516,2.198703
1956,2.141319,2.204285
1958,2.127885,2.208403
1960,2.13578,2.202492
1962,2.145471,2.204191
1964,2.139613,2.204213
1966,2.154752,2.194476
1968,2.144511,2.206705
1970,2.143406,2.199215
1972,2.144874,2.189901
1974,2.147211,2.186154
1976,2.149102,2.199651
1978,2.14874,2.204313
1980,2.144654,2.190056
1982,2.163042,2.197175
1984,2.146725,2.196414
1986,2.151166,2.203844
1988,2.152893,2.188962
1990,2.155431,2.187948
1992,2.15699,2.187189
1994,2.161211,2.190756
1996,2.153445,2.19371
1998,2.14353,2.193101
2000,2.136866,2.180768
2002,2.130655,2.17007
2004,2.137965,2.169266
2006,2.135544,2.181079
2008,2.14693,2.177714
2010,2.143477,2.175326
2012,2.142809,2.172495
2014,2.138858,2.175213
2016,2.122845,2.184764
2018,2.120409,2.176857
2020,2.129691,2.177967
2022,2.121031,2.169612
2024,2.111832,2.169453
2026,2.118551,2.166483
2028,2.111717,2.172652
2030,2.110737,2.174817
2032,2.103692,2.170989
2034,2.110571,2.182608
2036,2.127215,2.172283
2038,2.127227,2.171958
2040,2.125071,2.174998
