Time (ns),Quercetin-FN1,pQ3RU-FN1
1.1720001,0.1771702,0.3188562
1.1740000,0.1767770,0.3232698
1.1760000,0.1816961,0.3256228
1.1780001,0.1849075,0.3175716
1.1800001,0.1910385,0.3111188
1.1820000,0.1914386,0.3099909
1.1840000,0.1897217,0.3044654
1.1860001,0.1961467,0.2913746
1.1880001,0.1946238,0.2891574
1.1900001,0.1947691,0.2948284
1.1920000,0.2031029,0.3086289
1.1940000,0.2015749,0.3092469
1.1960001,0.1923397,0.2986194
1.1980001,0.1919001,0.2947581
1.2000000,0.1866087,0.2969922
1.2020000,0.1794758,0.2900523
1.2040001,0.1761272,0.2932959
1.2060001,0.1698088,0.3065041
1.2080001,0.1714685,0.3258529
1.2100000,0.1700367,0.3200072
1.2120000,0.1643646,0.3260539
1.2140001,0.1654239,0.3286081
1.2160001,0.1664914,0.3288871
1.2180001,0.1633028,0.3357746
1.2200000,0.1640053,0.3293460
1.2220000,0.1536677,0.3374165
1.2240001,0.1490842,0.3446296
1.2260001,0.1471355,0.3331120
1.2280000,0.1554787,0.3370210
1.2300000,0.1630792,0.3389741
1.2320001,0.1597567,0.3390492
1.2340001,0.1545072,0.3355262
1.2360001,0.1595629,0.3364374
1.2380000,0.1471045,0.3372779
1.2400000,0.1470411,0.3206980
1.2420001,0.1470418,0.3200702
1.2440001,0.1427980,0.3218525
1.2460001,0.1459625,0.3117527
1.2480000,0.1475126,0.3105743
1.2500000,0.1548935,0.3003593
1.2520001,0.1494313,0.2982857
1.2540001,0.1585729,0.3073608
1.2560000,0.1607610,0.3101363
1.2580000,0.1590695,0.3017190
1.2600001,0.1571686,0.2933448
1.2620001,0.1574436,0.2966577
1.2640001,0.1583412,0.2862424
1.2660000,0.1641192,0.2740508
1.2680000,0.1688691,0.2903026
1.2700001,0.1762027,0.2968580
1.2720001,0.1812073,0.3099320
1.2740000,0.1782708,0.3035899
1.2760000,0.1756355,0.2991948
1.2780001,0.1885000,0.3057507
1.2800001,0.1947104,0.3021811
1.2820001,0.1942413,0.3067743
1.2840000,0.1839800,0.3032465
1.2860000,0.1765640,0.2910970
1.2880001,0.1819783,0.2913136
1.2900001,0.1855718,0.2983093
1.2920001,0.1894864,0.3029833
1.2940000,0.1941973,0.3166227
1.2960000,0.1800324,0.3072910
1.2980001,0.1797887,0.3012937
1.3000001,0.1851781,0.3115939
1.3020000,0.1830614,0.3220369
1.3040000,0.1877451,0.3312296
1.3060001,0.1833192,0.3265409
1.3080001,0.1787095,0.3108467
1.3100001,0.1819596,0.3205519
1.3120000,0.1805230,0.3015677
1.3140000,0.1764002,0.2957807
1.3160001,0.1793926,0.3054568
1.3180001,0.1798296,0.2947252
1.3200001,0.1853560,0.2937289
1.3220000,0.1833086,0.3001445
1.3240001,0.1791636,0.2972353
1.3260001,0.1736050,0.2946928
1.3280001,0.1718212,0.2781337
1.3300000,0.1690776,0.2921726
1.3320000,0.1763643,0.2780044
1.3340001,0.1771307,0.2836498
1.3360001,0.1785262,0.2827426
1.3380001,0.1780069,0.2985542
1.3400000,0.1797605,0.3028028
1.3420000,0.1653393,0.3009867
1.3440001,0.1508487,0.3016723
1.3460001,0.1572645,0.2860280
1.3480000,0.1549685,0.3011653
1.3500000,0.1533802,0.3112637
1.3520001,0.1626744,0.3071638
1.3540001,0.1667068,0.3084355
1.3560001,0.1753024,0.2954288
1.3580000,0.1773334,0.2954415
1.3600000,0.1847250,0.2950979
1.3620001,0.1859738,0.2908810
1.3640001,0.1755018,0.2964652
1.3660001,0.1725830,0.2951050
1.3680000,0.1626332,0.2937129
1.3700001,0.1610962,0.3018793
1.3720001,0.1603210,0.3070954
1.3740001,0.1599252,0.3133913
1.3760000,0.1695327,0.3098345
1.3780000,0.1718522,0.3001360
1.3800001,0.1721069,0.3095871
1.3820001,0.1728534,0.3118133
1.3840001,0.1725643,0.2973228
1.3860000,0.1684889,0.3013495
1.3880000,0.1772495,0.2900854
1.3900001,0.1929679,0.2838763
1.3920001,0.1979002,0.2828079
1.3940001,0.2082989,0.2724313
1.3960000,0.2092028,0.2777660
1.3980001,0.2084550,0.2793026
1.4000001,0.2093750,0.2830269
1.4020001,0.2072933,0.3051941
1.4040000,0.2058201,0.3034234
1.4060000,0.2206072,0.2982424
1.4080001,0.2281394,0.3024049
1.4100001,0.2238801,0.3014013
1.4120001,0.2219616,0.3134301
1.4140000,0.2233927,0.3051717
1.4160000,0.2159459,0.3161570
1.4180001,0.2163127,0.3085451
1.4200001,0.2212864,0.3095230
1.4220001,0.2104141,0.3004334
1.4240000,0.2242626,0.3104071
1.4260001,0.2138999,0.3209246
1.4280001,0.2137959,0.3104526
1.4300001,0.2126215,0.3222563
1.4320000,0.2132955,0.3166765
1.4340000,0.2040936,0.3011685
1.4360001,0.2036555,0.3112984
1.4380001,0.2189656,0.3084051
1.4400001,0.2151938,0.3022115
1.4420000,0.2141355,0.2949146
1.4440001,0.2350338,0.3023598
1.4460001,0.2262927,0.3021137
1.4480001,0.2248232,0.2989222
1.4500000,0.2289054,0.2839343
1.4520000,0.2325760,0.2785780
1.4540001,0.2282814,0.2827489
1.4560001,0.2259147,0.2804232
1.4580001,0.2191066,0.2807855
1.4600000,0.2201060,0.2756962
1.4620000,0.2261171,0.2724997
1.4640001,0.2164244,0.2823063
1.4660001,0.2151620,0.2776978
1.4680001,0.2140163,0.2842284
1.4700000,0.2172511,0.2764090
1.4720001,0.2131751,0.2712929
1.4740001,0.2187513,0.2693133
1.4760001,0.2070516,0.2685878
1.4780000,0.2093986,0.2650069
1.4800000,0.2118751,0.2678694
1.4820001,0.2089257,0.2838278
1.4840001,0.2075751,0.2829187
1.4860001,0.2017622,0.2708447
1.4880000,0.2014365,0.2781750
1.4900001,0.2025668,0.2681617
1.4920001,0.2036241,0.2698832
1.4940001,0.2102408,0.2654259
1.4960001,0.2074539,0.2567605
1.4980000,0.2126276,0.2671059
1.5000001,0.2217485,0.2678385
1.5020001,0.2250761,0.2633854
1.5040001,0.2128255,0.2659410
1.5060000,0.2168554,0.2680043
1.5080000,0.2171069,0.2641556
1.5100001,0.2143620,0.2867442
1.5120001,0.2145501,0.2762599
1.5140001,0.2207610,0.2873523
1.5160000,0.2101166,0.2940957
1.5180001,0.2111519,0.2896633
1.5200001,0.2112209,0.2912588
1.5220001,0.2118953,0.2920598
1.5240000,0.1992795,0.2909257
1.5260000,0.1994076,0.2863087
1.5280001,0.2035429,0.2952679
1.5300001,0.2043539,0.2959290
1.5320001,0.1996552,0.3027712
1.5340000,0.2076957,0.2990925
